,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,over,neutral,playoff,elo1_pre,elo2_pre,qbelo_prob1,result
35,1979-09-16,1979,3,MIN,MIA,MIA,-7.0,37.0,64.0,11.0,12.0,27.0,0,0.0,1.0,1.0,0.0,,1485.057,1592.376,0.431430013372,0
36,1979-09-16,1979,3,NO,PHI,NO,-3.0,42.0,72.0,0.0,14.0,26.0,0,1.0,0.0,0.0,0.0,,1415.179,1505.894,0.459588887506,0
37,1979-09-16,1979,3,NYJ,DET,NYJ,-6.0,42.0,65.0,10.0,31.0,10.0,0,1.0,0.0,0.0,0.0,,1445.89,1439.112,0.63877144951,1
38,1979-09-16,1979,3,LAC,BUF,LAC,-9.0,44.0,79.0,8.0,27.0,19.0,0,1.0,0.0,1.0,0.0,,1603.403,1447.949,0.784693094694,1
39,1979-09-16,1979,3,SEA,LVR,SEA,-3.0,44.0,72.0,0.0,27.0,10.0,0,1.0,0.0,0.0,,,,,,1
40,1979-09-16,1979,3,ARI,PIT,PIT,-6.0,40.0,63.0,5.0,21.0,24.0,0,0.0,1.0,1.0,0.0,,1506.16,1704.908,0.306231906083,0
41,1979-09-17,1979,3,WAS,NYG,WAS,-6.0,37.0,68.0,6.0,27.0,0.0,0,1.0,0.0,0.0,0.0,,1476.317,1397.466,0.704002995868,1
42,1979-09-23,1979,4,BUF,NYJ,BUF,-3.0,42.0,50.0,9.0,46.0,31.0,0,1.0,0.0,1.0,0.0,,1439.185,1469.727,0.554580003155,1
43,1979-09-23,1979,4,CIN,TEN,TEN,-3.0,37.0,56.0,11.0,27.0,30.0,0,0.0,1.0,1.0,0.0,,1428.93,1571.512,0.307842082187,0
44,1979-09-23,1979,4,DEN,SEA,DEN,-6.0,37.0,69.0,9.0,37.0,34.0,0,1.0,0.0,1.0,0.0,,1584.392,1481.869,0.716527585244,1
45,1979-09-23,1979,4,DET,ATL,ATL,-6.0,37.0,72.0,0.0,24.0,23.0,0,0.0,1.0,1.0,0.0,,1415.276,1502.305,0.396685748851,1
46,1979-09-23,1979,4,KC,LVR,LVR,-3.0,41.0,65.0,10.0,35.0,7.0,0,0.0,1.0,1.0,,,,,,1
47,1979-09-23,1979,4,MIA,CHI,MIA,-6.0,37.0,79.0,8.0,31.0,16.0,0,1.0,0.0,1.0,0.0,,1616.281,1514.49,0.6719578919,1
48,1979-09-23,1979,4,MIN,GB,MIN,-1.0,34.0,59.0,14.0,27.0,21.0,0,1.0,0.0,1.0,0.0,,1461.151,1435.823,0.589083028733,1
49,1979-09-23,1979,4,NE,LAC,NE,-3.0,44.0,55.0,14.0,27.0,21.0,0,1.0,0.0,1.0,0.0,,1578.843,1612.167,0.562469670672,1
50,1979-09-23,1979,4,NYG,PHI,PHI,-5.0,37.0,61.0,16.0,13.0,17.0,0,0.0,1.0,0.0,0.0,,1378.446,1529.374,0.34754439755,0
51,1979-09-23,1979,4,PIT,IND,PIT,-14.0,38.0,54.0,10.0,17.0,13.0,0,1.0,0.0,0.0,0.0,,1713.181,1375.502,0.918709642788,1
52,1979-09-23,1979,4,SF,NO,PICK,0.0,42.0,62.0,9.0,21.0,30.0,0,0.0,0.0,1.0,0.0,,1355.534,1391.699,0.561829883105,0
53,1979-09-23,1979,4,ARI,WAS,ARI,-3.0,39.0,61.0,8.0,7.0,17.0,0,1.0,0.0,0.0,0.0,,1497.888,1495.337,0.576247618857,0
54,1979-09-23,1979,4,TB,LAR,LAR,-3.0,35.0,82.0,8.0,21.0,6.0,0,0.0,1.0,0.0,0.0,,1465.904,1570.953,0.425210359524,1
55,1979-09-24,1979,4,CLE,DAL,DAL,-3.0,40.0,56.0,8.0,26.0,7.0,0,0.0,1.0,0.0,0.0,,1520.594,1684.43,0.325618578702,1
56,1979-09-30,1979,5,ATL,WAS,ATL,-3.0,37.0,72.0,8.0,7.0,16.0,0,1.0,0.0,0.0,0.0,,1494.86,1524.826,0.546714861763,0
57,1979-09-30,1979,5,IND,BUF,IND,-2.0,42.0,71.0,7.0,13.0,31.0,0,1.0,0.0,1.0,0.0,,1373.063,1463.785,0.369847589267,0
58,1979-09-30,1979,5,CHI,TB,CHI,-1.0,34.0,67.0,9.0,13.0,17.0,0,1.0,0.0,0.0,0.0,,1500.22,1497.385,0.582610297852,0
59,1979-09-30,1979,5,DAL,CIN,DAL,-10.0,40.0,79.0,5.0,38.0,13.0,0,1.0,0.0,1.0,0.0,,1644.374,1418.481,0.846949061456,1
60,1979-09-30,1979,5,DET,MIN,DET,-3.0,39.0,72.0,0.0,10.0,13.0,0,1.0,0.0,0.0,0.0,,1422.721,1475.09,0.493759282372,0
61,1979-09-30,1979,5,TEN,CLE,TEN,-6.0,39.0,72.0,0.0,31.0,10.0,0,1.0,0.0,1.0,0.0,,1581.962,1560.65,0.581903660914,1
62,1979-09-30,1979,5,LAR,ARI,LAR,-6.0,38.0,65.0,10.0,21.0,0.0,0,1.0,0.0,0.0,0.0,,1539.473,1468.399,0.671437713798,1
63,1979-09-30,1979,5,NO,NYG,NO,-6.0,39.0,72.0,0.0,24.0,14.0,0,1.0,0.0,0.0,0.0,,1416.963,1366.711,0.68150337454,1
64,1979-09-30,1979,5,NYJ,MIA,MIA,-4.0,43.0,67.0,13.0,33.0,27.0,0,0.0,1.0,1.0,0.0,,1445.127,1630.551,0.347188055078,1
65,1979-09-30,1979,5,LVR,DEN,DEN,-3.0,36.0,64.0,8.0,27.0,3.0,0,0.0,1.0,0.0,,,,,,1
66,1979-09-30,1979,5,PHI,PIT,PIT,-4.0,36.0,68.0,12.0,17.0,14.0,0,0.0,1.0,0.0,0.0,,1541.109,1715.62,0.341985865782,1
67,1979-09-30,1979,5,LAC,SF,LAC,-13.0,44.0,72.0,11.0,31.0,9.0,0,1.0,0.0,0.0,0.0,,1594.729,1330.271,0.851925524768,1
68,1979-09-30,1979,5,SEA,KC,SEA,-6.0,43.0,72.0,0.0,6.0,24.0,0,1.0,0.0,0.0,0.0,,1474.758,1444.222,0.638962054798,0
69,1979-10-01,1979,5,GB,NE,NE,-7.0,39.0,52.0,7.0,27.0,14.0,0,0.0,1.0,1.0,0.0,,1421.884,1596.282,0.340677433172,1
70,1979-10-07,1979,6,ATL,GB,ATL,-6.0,35.0,62.0,13.0,25.0,7.0,0,1.0,0.0,0.0,0.0,,1469.11,1458.122,0.578451596516,1
71,1979-10-07,1979,6,IND,NYJ,NYJ,-3.0,42.0,57.0,14.0,10.0,8.0,0,0.0,1.0,0.0,0.0,,1346.11,1472.575,0.371475683469,1
72,1979-10-07,1979,6,BUF,CHI,BUF,-5.0,40.0,50.0,21.0,0.0,7.0,0,1.0,0.0,0.0,0.0,,1490.738,1480.412,0.638227807754,0
73,1979-10-07,1979,6,CIN,KC,PICK,0.0,38.0,49.0,14.0,7.0,10.0,0,0.0,0.0,0.0,0.0,,1409.398,1483.26,0.485182360946,0
74,1979-10-07,1979,6,CLE,PIT,PIT,-4.0,36.0,48.0,17.0,35.0,51.0,0,0.0,1.0,1.0,0.0,,1538.148,1696.578,0.359963109755,0
75,1979-10-07,1979,6,DEN,LAC,LAC,-1.0,37.0,67.0,11.0,7.0,0.0,0,0.0,1.0,0.0,0.0,,1553.855,1601.846,0.505347175284,1
76,1979-10-07,1979,6,TEN,ARI,TEN,-7.0,39.0,72.0,0.0,17.0,24.0,0,1.0,0.0,1.0,0.0,,1604.465,1450.141,0.773031003504,0
77,1979-10-07,1979,6,MIN,DAL,DAL,-7.0,39.0,43.0,5.0,20.0,36.0,0,0.0,1.0,1.0,0.0,,1489.54,1653.457,0.33559361617,0
78,1979-10-07,1979,6,NE,DET,NE,-13.0,40.0,56.0,13.0,24.0,17.0,0,1.0,0.0,1.0,0.0,,1560.044,1408.271,0.787519693079,1
79,1979-10-07,1979,6,NO,LAR,LAR,-4.0,39.0,72.0,0.0,17.0,35.0,0,0.0,1.0,1.0,0.0,,1432.455,1557.731,0.406430281961,0
80,1979-10-07,1979,6,NYG,TB,TB,-6.0,34.0,60.0,16.0,17.0,14.0,0,0.0,1.0,0.0,0.0,,1351.219,1517.193,0.362775587625,1
81,1979-10-07,1979,6,PHI,WAS,PHI,-1.0,37.0,57.0,14.0,28.0,17.0,0,1.0,0.0,1.0,0.0,,1560.15,1550.576,0.582728790273,1
82,1979-10-07,1979,6,SF,SEA,SEA,-5.0,43.0,61.0,14.0,24.0,35.0,0,0.0,1.0,1.0,0.0,,1323.153,1435.72,0.438213180238,0
83,1979-10-08,1979,6,LVR,MIA,MIA,-1.0,39.0,63.0,12.0,13.0,3.0,0,0.0,1.0,0.0,,,,,,1
84,1979-10-14,1979,7,IND,TEN,TEN,-6.0,36.0,46.0,13.0,16.0,28.0,0,0.0,1.0,1.0,0.0,,1359.391,1568.458,0.291969218345,0
85,1979-10-14,1979,7,CHI,NE,NE,-4.0,37.0,45.0,9.0,7.0,27.0,0,0.0,1.0,0.0,0.0,,1506.54,1568.489,0.494646800755,0
86,1979-10-14,1979,7,CIN,PIT,PIT,-10.0,39.0,40.0,7.0,34.0,10.0,0,0.0,1.0,1.0,0.0,,1395.943,1716.619,0.181073619363,1
87,1979-10-14,1979,7,CLE,WAS,CLE,-4.0,34.0,44.0,12.0,9.0,13.0,0,1.0,0.0,0.0,0.0,,1518.107,1531.622,0.55595506121,0
88,1979-10-14,1979,7,DAL,LAR,DAL,-3.0,39.0,67.0,10.0,30.0,6.0,0,1.0,0.0,0.0,0.0,,1673.053,1581.467,0.707190947192,1
89,1979-10-14,1979,7,GB,DET,GB,-4.0,36.0,41.0,10.0,24.0,16.0,0,1.0,0.0,1.0,0.0,,1435.788,1399.826,0.658729590512,1
90,1979-10-14,1979,7,KC,DEN,DEN,-1.0,34.0,47.0,12.0,10.0,24.0,0,0.0,1.0,0.0,0.0,,1496.715,1573.48,0.413795968709,0
91,1979-10-14,1979,7,MIA,BUF,MIA,-6.0,40.0,74.0,12.0,17.0,7.0,0,1.0,0.0,0.0,0.0,,1577.189,1464.61,0.692068332973,1
92,1979-10-14,1979,7,NYG,SF,NYG,-4.0,38.0,49.0,18.0,32.0,16.0,0,1.0,0.0,1.0,0.0,,1369.857,1302.139,0.653436887755,1
93,1979-10-14,1979,7,LVR,ATL,LVR,-10.0,37.0,68.0,9.0,50.0,19.0,0,1.0,0.0,1.0,,,,,,1
94,1979-10-14,1979,7,LAC,SEA,LAC,-10.0,44.0,72.0,8.0,20.0,10.0,0,1.0,0.0,0.0,0.0,,1582.221,1456.734,0.738494482168,1
95,1979-10-14,1979,7,ARI,PHI,ARI,-3.0,38.0,47.0,9.0,20.0,24.0,0,1.0,0.0,1.0,0.0,,1486.147,1579.104,0.428321553423,0
96,1979-10-14,1979,7,TB,NO,TB,-8.0,38.0,75.0,11.0,14.0,42.0,0,1.0,0.0,1.0,0.0,,1498.556,1408.719,0.704183773334,0
97,1979-10-15,1979,7,NYJ,MIN,NYJ,-4.0,42.0,50.0,13.0,14.0,7.0,0,1.0,0.0,0.0,0.0,,1459.295,1469.944,0.560664936277,1
98,1979-10-21,1979,8,BUF,IND,BUF,-6.0,39.0,71.0,18.0,13.0,14.0,0,1.0,0.0,0.0,0.0,,1452.868,1344.764,0.682556113934,0
99,1979-10-21,1979,8,CLE,CIN,CLE,-3.0,39.0,71.0,18.0,28.0,27.0,0,1.0,0.0,1.0,0.0,,1499.203,1455.188,0.643538531126,1
100,1979-10-21,1979,8,DAL,ARI,DAL,-10.0,39.0,81.0,24.0,22.0,13.0,0,1.0,0.0,0.0,0.0,,1690.408,1471.531,0.852076272558,1
101,1979-10-21,1979,8,KC,NYG,KC,-6.0,36.0,79.0,30.0,17.0,21.0,0,1.0,0.0,1.0,0.0,,1470.69,1386.839,0.688469036051,0
102,1979-10-21,1979,8,LAR,LAC,LAC,-1.0,37.0,63.0,14.0,16.0,40.0,0,0.0,1.0,1.0,0.0,,1564.112,1593.272,0.52976508277,0
103,1979-10-21,1979,8,MIN,CHI,MIN,-2.0,36.0,51.0,12.0,30.0,27.0,0,1.0,0.0,1.0,0.0,,1452.8,1475.785,0.54070504997,1
104,1979-10-21,1979,8,NE,MIA,NE,-5.0,38.0,65.0,14.0,28.0,13.0,0,1.0,0.0,1.0,0.0,,1599.244,1588.93,0.627449537816,1
105,1979-10-21,1979,8,NO,DET,NO,-7.0,42.0,72.0,0.0,17.0,7.0,0,1.0,0.0,0.0,0.0,,1460.094,1384.757,0.731236772713,1
106,1979-10-21,1979,8,NYJ,LVR,LVR,-3.0,42.0,65.0,9.0,28.0,19.0,0,0.0,1.0,1.0,,,,,,1
107,1979-10-21,1979,8,SF,ATL,ATL,-4.0,42.0,57.0,7.0,20.0,15.0,0,0.0,1.0,0.0,0.0,,1285.156,1468.894,0.362945543061,1
108,1979-10-21,1979,8,SEA,TEN,TEN,-2.0,42.0,72.0,0.0,34.0,14.0,0,0.0,1.0,1.0,0.0,,1445.682,1583.084,0.419973635278,1
109,1979-10-21,1979,8,TB,GB,TB,-5.0,37.0,78.0,10.0,21.0,3.0,0,1.0,0.0,0.0,0.0,,1447.181,1450.858,0.544550296038,1
110,1979-10-21,1979,8,WAS,PHI,PHI,-2.0,38.0,70.0,9.0,17.0,7.0,0,0.0,1.0,0.0,0.0,,1550.527,1593.72,0.526015833479,1
